plotsize,bedrooms,bathrms,stories,price
5850,3,1,2,42000
4000,2,1,1,38500
3060,3,1,1,49500
6650,3,1,2,60500
6360,2,1,1,61000
4160,3,1,1,66000
3880,3,2,2,66000
4160,3,1,3,69000
4800,3,1,1,83800
5500,3,2,4,88500
7200,3,2,1,90000
3000,2,1,1,30500
1700,3,1,2,27000
2880,3,1,1,36000
3600,2,1,1,37000
3185,2,1,1,37900
3300,3,1,2,40500
5200,4,1,3,40750
3450,1,1,1,45000
3986,2,2,1,45000
4785,3,1,2,48500
4510,4,2,2,65900
4000,3,1,2,37900
3934,2,1,1,38000
4960,2,1,1,42000
3000,2,1,2,42300
3800,2,1,1,43500
4960,2,1,1,44000
3000,3,1,1,44500
4500,3,1,2,44900
3500,2,1,1,45000
3500,4,1,2,48000
4000,2,1,1,49000
4500,2,1,1,51500
6360,2,1,2,61000
4500,2,1,1,61000
4032,2,1,1,61700
5170,3,1,4,67000
5400,4,2,2,82000
3150,2,2,1,54500
3745,3,1,2,66500
4520,3,1,2,70000
4640,4,1,2,82000
8580,5,3,2,92000
2000,2,1,2,38000
2160,3,1,2,44000
3040,2,1,1,41000
3090,3,1,2,43000
4960,4,1,3,48000
